date,sm_rootzone
2015-03-31,0.1900523125
2015-04-01,0.18891534999999998
2015-04-02,0.1996534
2015-04-03,0.207862025
2015-04-04,0.230059125
2015-04-05,0.2482177375
2015-04-06,0.2535262375
2015-04-07,0.240897425
2015-04-08,0.2337816125
2015-04-09,0.232807475
2015-04-10,0.2346108875
2015-04-11,0.233534425
2015-04-12,0.23634222500000002
2015-04-13,0.2357620625
2015-04-14,0.2310608875
2015-04-15,0.2269655125
2015-04-16,0.22487325
2015-04-17,0.22318435
2015-04-18,0.2397091875
2015-04-19,0.2447380625
2015-04-20,0.2606953875
2015-04-21,0.2863296875
2015-04-22,0.3025412
2015-04-23,0.3031228875
2015-04-24,0.2972941375
2015-04-25,0.2893335625
2015-04-26,0.28451155
2015-04-27,0.281927225
2015-04-28,0.27852014999999997
2015-04-29,0.28588795
2015-04-30,0.28595709999999996
2015-05-01,0.287468375
2015-05-02,0.299065725
2015-05-03,0.3169062
2015-05-04,0.3138383875
2015-05-05,0.30724555
2015-05-06,0.3026516625
2015-05-07,0.3059669875
2015-05-08,0.3196485
2015-05-09,0.3112224625
2015-05-10,0.3291006875
2015-05-11,0.33975038750000003
2015-05-12,0.3258061375
2015-05-13,0.326122325
2015-05-14,0.3368529375
2015-05-15,0.341091475
2015-05-16,0.3404516625
2015-05-17,0.3335468375
2015-05-18,0.328137125
2015-05-19,0.3229104875
2015-05-20,0.3180210625
2015-05-21,0.3194399875
2015-05-22,0.3215373375
2015-05-23,0.332988975
2015-05-24,0.3326440125
2015-05-25,0.3275466625
2015-05-26,0.3261761375
2015-05-27,0.3360211625
2015-05-28,0.33822525
2015-05-29,0.3408536125
2015-05-30,0.3542656875
2015-05-31,0.358674825
2015-06-01,0.3579631375
2015-06-02,0.3603706875
2015-06-03,0.3557763375
2015-06-04,0.348932825
2015-06-05,0.3480073875
2015-06-06,0.3579849125
2015-06-07,0.3602074125
2015-06-08,0.36450235
2015-06-09,0.3774930125
2015-06-10,0.39687455
2015-06-11,0.4104731125
2015-06-12,0.41806375
2015-06-13,0.41883855000000003
2015-06-14,0.418301775
2015-06-15,0.41531755
