date,sm_rootzone
2015-03-31,0.160091675
2015-04-01,0.16664515
2015-04-02,0.1912229
2015-04-03,0.204497475
2015-04-04,0.2061257125
2015-04-05,0.226626525
2015-04-06,0.2488875625
2015-04-07,0.2430794375
2015-04-08,0.2340639
2015-04-09,0.229870175
2015-04-10,0.22534115
2015-04-11,0.22354755
2015-04-12,0.2270267375
2015-04-13,0.226316875
2015-04-14,0.2217377625
2015-04-15,0.2189241125
2015-04-16,0.2172514625
2015-04-17,0.214769125
2015-04-18,0.216035175
2015-04-19,0.2111839875
2015-04-20,0.21494188749999998
2015-04-21,0.21517796250000001
2015-04-22,0.2190832625
2015-04-23,0.22071015
2015-04-24,0.2191844
2015-04-25,0.2204172625
2015-04-26,0.2219886625
2015-04-27,0.2240582875
2015-04-28,0.2231002375
2015-04-29,0.22112199999999999
2015-04-30,0.22020699999999999
2015-05-01,0.22169535
2015-05-02,0.2201930625
2015-05-03,0.2209513375
2015-05-04,0.2182649625
2015-05-05,0.2155402125
2015-05-06,0.2133267
2015-05-07,0.2164284125
2015-05-08,0.230026
2015-05-09,0.227558525
2015-05-10,0.236159425
2015-05-11,0.251340975
2015-05-12,0.2599034375
2015-05-13,0.258770025
2015-05-14,0.25231926250000003
2015-05-15,0.26400405
2015-05-16,0.289426275
2015-05-17,0.285222275
2015-05-18,0.2826964625
2015-05-19,0.2791635375
2015-05-20,0.27518963750000003
2015-05-21,0.27287015
2015-05-22,0.274570775
2015-05-23,0.2827875625
2015-05-24,0.284029525
2015-05-25,0.27989346249999997
2015-05-26,0.280582875
2015-05-27,0.2883832375
2015-05-28,0.2982319875
2015-05-29,0.3016080125
2015-05-30,0.3096337375
2015-05-31,0.3070391
2015-06-01,0.3019939125
2015-06-02,0.3028755625
2015-06-03,0.304171125
2015-06-04,0.2996164
2015-06-05,0.2951204375
2015-06-06,0.2918838375
2015-06-07,0.28791125
2015-06-08,0.2849430125
2015-06-09,0.2818356625
2015-06-10,0.2963954
2015-06-11,0.335628775
2015-06-12,0.3748966375
2015-06-13,0.3847962
2015-06-14,0.3867466125
2015-06-15,0.387866975
2015-06-16,0.389936225
2015-06-17,0.3858568125
2015-06-18,0.3829280125
2015-06-19,0.3820414125
2015-06-20,0.3847593125
2015-06-21,0.38299733750000003
2015-06-22,0.3876797125
2015-06-23,0.3912876
2015-06-24,0.3909451375
2015-06-25,0.3909630875
2015-06-26,0.3898319125
2015-06-27,0.387701525
2015-06-28,0.3845901625
2015-06-29,0.3803927875
2015-06-30,0.3761211125
2015-07-01,0.371829475
2015-07-02,0.3689924
2015-07-03,0.3674229
2015-07-04,0.3637589
2015-07-05,0.3634454875
2015-07-06,0.3704471875
2015-07-07,0.381851625
2015-07-08,0.3955148875
2015-07-09,0.3998875625
2015-07-10,0.400949
2015-07-11,0.3997385375
2015-07-12,0.3958642625
2015-07-13,0.3924463
2015-07-14,0.394137525
2015-07-15,0.399139425
2015-07-16,0.4067530875
2015-07-17,0.412423925
2015-07-18,0.4144149375
2015-07-19,0.418226125
2015-07-20,0.4194879875
2015-07-21,0.4179180875
2015-07-22,0.415050425
2015-07-23,0.41248901250000003
2015-07-24,0.4136185875
2015-07-25,0.413784375
2015-07-26,0.4133248375
2015-07-27,0.415692
2015-07-28,0.413322675
2015-07-29,0.4102798
2015-07-30,0.4095207125
2015-07-31,0.4122889625
2015-08-01,0.4125274
2015-08-02,0.41060755
2015-08-03,0.40791565
2015-08-04,0.4080835
2015-08-05,0.406824975
2015-08-06,0.40369315
2015-08-07,0.40149976249999997
2015-08-08,0.4040186375
2015-08-09,0.4015577
2015-08-10,0.4010263875
2015-08-11,0.398532675
2015-08-12,0.3960326875
2015-08-13,0.3946179
2015-08-14,0.392115325
2015-08-15,0.38930244999999997
2015-08-16,0.3874348375
2015-08-17,0.3863996625
2015-08-18,0.3920759875
2015-08-19,0.4007257
2015-08-20,0.40850101250000004
2015-08-21,0.4150131
2015-08-22,0.4099435375
2015-08-23,0.4075668375
2015-08-24,0.4086210875
2015-08-25,0.408161375
2015-08-26,0.40861166250000003
2015-08-27,0.4088096375
2015-08-28,0.40582111249999997
2015-08-29,0.403413075
2015-08-30,0.4054919
2015-08-31,0.411740525
2015-09-01,0.4155897625
2015-09-02,0.413071875
2015-09-03,0.4115902625
2015-09-04,0.4103018875
2015-09-05,0.4094240625
2015-09-06,0.40688805
2015-09-07,0.4060184375
2015-09-08,0.4037752375
2015-09-09,0.4046701
2015-09-10,0.4085053125
2015-09-11,0.4075530375
2015-09-12,0.40651098750000003
2015-09-13,0.4069092
2015-09-14,0.40859544999999997
2015-09-15,0.4062546875
2015-09-16,0.40200305000000003
2015-09-17,0.399281525
2015-09-18,0.4012375875
2015-09-19,0.400653775
2015-09-20,0.401231675
2015-09-21,0.4033239375
2015-09-22,0.40281646249999997
2015-09-23,0.4033319
2015-09-24,0.4012816625
2015-09-25,0.3977193875
2015-09-26,0.39423023749999997
2015-09-27,0.3910698125
2015-09-28,0.3879197375
2015-09-29,0.3851922875
2015-09-30,0.38220535
2015-10-01,0.3797718375
2015-10-02,0.3779122375
2015-10-03,0.37653749999999997
2015-10-04,0.3747701875
2015-10-05,0.3750909
2015-10-06,0.3774672625
2015-10-07,0.3808916875
2015-10-08,0.383399275
2015-10-09,0.3809530625
2015-10-10,0.3772259
2015-10-11,0.3741781375
2015-10-12,0.3723819375
2015-10-13,0.3727834875
2015-10-14,0.370193275
2015-10-15,0.3675642875
2015-10-16,0.364628775
2015-10-17,0.361628525
2015-10-18,0.3588051
2015-10-19,0.355590625
2015-10-20,0.3523274375
2015-10-21,0.349191125
2015-10-22,0.3460877875
2015-10-23,0.3436929125
2015-10-24,0.34096692500000003
2015-10-25,0.3379441875
2015-10-26,0.3349661375
2015-10-27,0.3324517375
2015-10-28,0.330289025
2015-10-29,0.3285978125
2015-10-30,0.3266355875
2015-10-31,0.3313337875
2015-11-01,0.3307626
2015-11-02,0.327702125
2015-11-03,0.3246276125
2015-11-04,0.32194415
2015-11-05,0.319250825
2015-11-06,0.316815425
2015-11-07,0.3141495875
2015-11-08,0.311324825
2015-11-09,0.30894205
2015-11-10,0.3066569625
2015-11-11,0.3043386125
2015-11-12,0.3020391375
2015-11-13,0.2997645375
2015-11-14,0.2976386375
2015-11-15,0.29551985000000003
2015-11-16,0.29347168749999997
2015-11-17,0.29213137499999997
2015-11-18,0.29159976249999997
2015-11-19,0.2898718125
2015-11-20,0.2875589625
2015-11-21,0.2852102125
2015-11-22,0.282868325
2015-11-23,0.280499425
2015-11-24,0.2783480625
2015-11-25,0.27633487500000004
2015-11-26,0.27448656250000003
2015-11-27,0.2729015
2015-11-28,0.270986
2015-11-29,0.2690129875
2015-11-30,0.267145125
2015-12-01,0.2654845875
2015-12-02,0.2642765125
2015-12-03,0.2633326875
2015-12-04,0.262432625
2015-12-05,0.2606472375
2015-12-06,0.2595757375
2015-12-07,0.258766975
2015-12-08,0.257575975
2015-12-09,0.25583802499999997
2015-12-10,0.254831925
2015-12-11,0.2533744125
2015-12-12,0.2521530625
2015-12-13,0.2508661
2015-12-14,0.2499663375
2015-12-15,0.2487310375
2015-12-16,0.24736350000000001
2015-12-17,0.2461071875
2015-12-18,0.24545192500000002
2015-12-19,0.24452025
2015-12-20,0.2433716
2015-12-21,0.2426309875
2015-12-22,0.2414904625
2015-12-23,0.2402407
2015-12-24,0.2389518125
2015-12-25,0.2379739125
2015-12-26,0.236834925
2015-12-27,0.23550305
2015-12-28,0.234384575
2015-12-29,0.233611575
2015-12-30,0.233160025
2015-12-31,0.232722875
2016-01-01,0.2316850625
2016-01-02,0.2302182125
2016-01-03,0.2289361
2016-01-04,0.2281058375
2016-01-05,0.2272450875
2016-01-06,0.2262257375
2016-01-07,0.2257587875
2016-01-08,0.225330175
2016-01-09,0.22435175
2016-01-10,0.22358705
2016-01-11,0.222559225
2016-01-12,0.221630725
2016-01-13,0.2209417625
2016-01-14,0.2208766375
2016-01-15,0.2199363
2016-01-16,0.2190850875
2016-01-17,0.218253625
2016-01-18,0.217013325
2016-01-19,0.2157179
2016-01-20,0.2165215
2016-01-21,0.2179932875
2016-01-22,0.217008675
2016-01-23,0.2165272625
2016-01-24,0.2159302625
2016-01-25,0.214569275
2016-01-26,0.213436175
2016-01-27,0.2123529
2016-01-28,0.2117589
2016-01-29,0.211265975
2016-01-30,0.21033517499999999
2016-01-31,0.2102544875
2016-02-01,0.210065175
2016-02-02,0.209038775
2016-02-03,0.2080995625
2016-02-04,0.207076925
2016-02-05,0.2058727375
2016-02-06,0.20484144999999998
2016-02-07,0.2041818875
2016-02-08,0.20316167499999999
2016-02-09,0.20276278749999999
2016-02-10,0.2052914375
2016-02-11,0.2054703875
2016-02-12,0.20636451249999999
2016-02-13,0.205678625
2016-02-14,0.2047882
2016-02-15,0.20416913750000001
2016-02-16,0.2031354875
2016-02-17,0.202127825
2016-02-18,0.2028206625
2016-02-19,0.2022931875
2016-02-20,0.2018904625
2016-02-21,0.199730875
2016-02-22,0.197792925
2016-02-23,0.19623888750000001
2016-02-24,0.20753475
2016-02-25,0.2109666875
2016-02-26,0.2076536
2016-02-27,0.20649338750000001
2016-02-28,0.2041798
2016-02-29,0.20206715
2016-03-01,0.20003285
2016-03-02,0.1980540875
2016-03-03,0.196313625
2016-03-04,0.1944662375
2016-03-05,0.1928914875
2016-03-06,0.1920942625
2016-03-07,0.1936398125
2016-03-08,0.1913919125
2016-03-09,0.1893852375
2016-03-10,0.1875693375
2016-03-11,0.18609553750000002
2016-03-12,0.18474755
2016-03-13,0.1827214375
2016-03-14,0.1811948125
2016-03-15,0.17961302499999998
2016-03-16,0.1788506125
2016-03-17,0.1775250375
2016-03-18,0.1761865625
2016-03-19,0.1761435
2016-03-20,0.175209225
2016-03-21,0.17408362500000002
2016-03-22,0.1731909875
2016-03-23,0.17225895
2016-03-24,0.1710087875
2016-03-25,0.16968645
2016-03-26,0.168437975
2016-03-27,0.1672691375
2016-03-28,0.1716888375
2016-03-29,0.1853546375
2016-03-30,0.20317045
2016-03-31,0.21728445000000002
2016-04-01,0.2295520375
2016-04-02,0.2243157375
2016-04-03,0.2427724875
2016-04-04,0.275740925
2016-04-05,0.27110429999999996
2016-04-06,0.26181326250000003
2016-04-07,0.255140525
2016-04-08,0.2499042625
2016-04-09,0.24528226250000001
2016-04-10,0.24103185
2016-04-11,0.2375265625
2016-04-12,0.2334463125
2016-04-13,0.22948175
2016-04-14,0.233282225
2016-04-15,0.2432554125
2016-04-16,0.2520096625
2016-04-17,0.262530625
2016-04-18,0.2583847875
2016-04-19,0.251895825
2016-04-20,0.2458491625
2016-04-21,0.2406808125
2016-04-22,0.2368478375
2016-04-23,0.2325554375
2016-04-24,0.22876195
2016-04-25,0.2253999375
2016-04-26,0.2221092125
2016-04-27,0.220248325
2016-04-28,0.219013575
2016-04-29,0.21621988749999999
2016-04-30,0.21417455
2016-05-01,0.2154316
2016-05-02,0.225243225
2016-05-03,0.2327191
2016-05-04,0.238399325
2016-05-05,0.2367761625
2016-05-06,0.24460852500000002
2016-05-07,0.2552813
2016-05-08,0.25395334999999997
2016-05-09,0.24897382499999998
2016-05-10,0.2458447625
2016-05-11,0.2435131625
2016-05-12,0.247194
2016-05-13,0.280827
2016-05-14,0.289653525
2016-05-15,0.29003687499999997
2016-05-16,0.2889186625
2016-05-17,0.2839274625
2016-05-18,0.28149409999999997
2016-05-19,0.2804734875
2016-05-20,0.300990275
2016-05-21,0.327073375
2016-05-22,0.3298317375
2016-05-23,0.3248929625
2016-05-24,0.3217372125
2016-05-25,0.32737775
2016-05-26,0.3252613
2016-05-27,0.323758725
2016-05-28,0.3288704
2016-05-29,0.3330509125
2016-05-30,0.33074265
2016-05-31,0.3371407375
2016-06-01,0.3354948375
2016-06-02,0.3304537625
2016-06-03,0.3253633
2016-06-04,0.32103365
2016-06-05,0.317300775
2016-06-06,0.3187990375
2016-06-07,0.32382785
2016-06-08,0.3322611625
2016-06-09,0.3287336
2016-06-10,0.326328575
2016-06-11,0.3325431625
2016-06-12,0.3552873
2016-06-13,0.3519536
2016-06-14,0.3522891875
2016-06-15,0.3522194875
2016-06-16,0.3503467625
2016-06-17,0.34890525
2016-06-18,0.3469339
2016-06-19,0.34394715
2016-06-20,0.3389424125
2016-06-21,0.335789875
2016-06-22,0.336529
2016-06-23,0.34629675
2016-06-24,0.3421649375
2016-06-25,0.3377522
2016-06-26,0.3443755
2016-06-27,0.3504997125
2016-06-28,0.349268325
2016-06-29,0.34885347499999997
2016-06-30,0.34577823750000003
2016-07-01,0.34581351250000003
2016-07-02,0.3551956625
2016-07-03,0.3603839375
2016-07-04,0.36587805
2016-07-05,0.367164625
